,HDI Rank (2017),Country,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017,cluster
2,85,Algeria,65.2,66.6,68.9,71.5,73.5,73.8,74.0,74.2,74.5,74.7,74.9,75.1,0
4,70,Antigua and Barbuda,68.7,69.8,71.0,72.1,72.9,73.1,73.2,73.4,73.5,73.7,73.8,74.0,0
5,47,Argentina,68.1,69.1,70.1,71.0,71.7,71.9,72.1,72.2,72.4,72.6,72.8,73.0,0
6,83,Armenia,64.9,65.4,68.1,69.3,70.0,70.2,70.5,70.7,70.9,71.1,71.3,71.4,0
9,80,Azerbaijan,60.7,61.1,63.6,65.7,67.9,68.2,68.4,68.6,68.8,68.9,69.0,69.1,0
10,54,Bahamas,67.3,68.0,69.2,70.7,71.6,71.8,72.0,72.1,72.3,72.4,72.6,72.7,0
12,136,Bangladesh,58.1,61.6,65.0,67.3,69.0,69.3,69.7,70.0,70.3,70.6,70.9,71.2,0
13,58,Barbados,69.0,70.0,71.0,71.7,72.5,72.7,72.8,73.0,73.1,73.3,73.4,73.6,0
14,53,Belarus,65.4,62.8,61.9,62.7,65.1,65.6,66.1,66.6,66.9,67.2,67.4,67.5,0
16,106,Belize,69.1,67.1,65.6,66.3,67.1,67.2,67.2,67.3,67.4,67.6,67.7,67.9,0
20,77,Bosnia and Herzegovina,67.4,68.2,71.8,72.5,73.3,73.5,73.6,73.8,74.0,74.2,74.4,74.6,0
22,79,Brazil,61.7,63.8,66.3,68.3,70.1,70.5,70.8,71.1,71.4,71.6,71.9,72.1,0
24,51,Bulgaria,68.0,67.5,68.1,69.2,70.3,70.5,70.7,70.9,71.1,71.2,71.4,71.5,0
27,125,Cabo Verde,63.2,65.0,68.0,69.9,70.0,70.0,70.1,70.2,70.3,70.5,70.7,70.9,0
34,86,China,67.7,68.4,70.4,72.5,73.8,74.0,74.2,74.3,74.5,74.6,74.8,74.9,0
35,90,Colombia,64.4,65.4,67.3,68.7,69.7,69.9,70.1,70.3,70.5,70.7,70.9,71.0,0
40,46,Croatia,68.6,70.0,71.2,71.9,73.1,73.3,73.5,73.7,73.9,74.1,74.3,74.5,0
47,94,Dominican Republic,65.5,67.0,67.7,68.6,69.7,69.9,70.1,70.3,70.4,70.6,70.8,71.0,0
48,86,Ecuador,66.6,68.5,70.0,71.2,72.3,72.5,72.7,72.9,73.2,73.4,73.6,73.9,0
49,115,Egypt,62.2,64.4,66.2,67.1,68.2,68.4,68.6,68.8,69.0,69.1,69.3,69.5,0
50,121,El Salvador,59.3,62.9,64.3,65.7,67.2,67.5,67.7,68.0,68.3,68.5,68.8,69.1,0
53,30,Estonia,64.3,62.8,64.7,67.1,70.2,70.8,71.4,71.9,72.3,72.6,72.8,73.0,0
56,92,Fiji,63.6,64.5,65.2,65.8,66.5,66.7,66.8,67.0,67.1,67.3,67.4,67.5,0
61,70,Georgia,66.3,66.5,68.1,68.9,68.5,68.5,68.5,68.6,68.7,68.8,69.0,69.2,0
65,75,Grenada,66.3,67.1,68.0,69.1,70.2,70.5,70.7,70.8,71.0,71.1,71.2,71.3,0
66,127,Guatemala,59.5,62.0,64.7,66.5,68.3,68.6,69.0,69.3,69.6,69.9,70.2,70.4,0
71,133,Honduras,64.5,66.6,68.1,69.1,70.0,70.1,70.3,70.5,70.7,70.8,71.0,71.2,0
73,45,Hungary,65.1,65.5,67.4,68.9,70.7,71.1,71.4,71.8,72.0,72.2,72.4,72.5,0
76,116,Indonesia,61.9,63.5,64.6,65.2,66.1,66.3,66.5,66.7,66.8,67.0,67.2,67.3,0
77,60,Iran (Islamic Republic of),61.6,67.9,69.2,70.4,72.5,73.1,73.6,74.0,74.4,74.7,74.9,75.1,0
78,120,Iraq,62.8,65.7,67.0,65.9,65.8,66.2,66.6,67.0,67.3,67.5,67.6,67.8,0
82,97,Jamaica,69.9,69.4,69.6,70.8,72.4,72.7,72.9,73.1,73.3,73.5,73.6,73.7,0
84,95,Jordan,68.6,69.6,70.4,71.2,71.9,72.0,72.1,72.3,72.4,72.5,72.7,72.8,0
88,0,Korea (Democratic People's Rep. of),66.0,62.2,61.2,64.7,66.0,66.4,66.8,67.2,67.6,67.8,68.1,68.3,0
90,56,Kuwait,71.3,72.0,72.4,72.8,73.2,73.3,73.4,73.5,73.6,73.7,73.8,73.9,0
93,41,Latvia,63.7,61.8,64.0,65.5,67.4,67.9,68.4,68.8,69.1,69.4,69.6,69.7,0
97,108,Libya,67.0,68.3,68.9,69.4,69.1,69.0,68.9,68.9,68.9,69.0,69.2,69.3,0
98,35,Lithuania,65.6,64.0,65.1,65.8,67.2,67.6,68.1,68.5,68.8,69.1,69.2,69.4,0
102,57,Malaysia,68.9,69.9,70.8,71.4,72.1,72.3,72.5,72.7,72.8,73.0,73.2,73.3,0
103,101,Maldives,61.8,65.3,69.2,73.1,75.1,75.3,75.5,75.6,75.9,76.1,76.4,76.7,0
107,65,Mauritius,65.7,66.7,67.8,69.2,70.0,70.3,70.5,70.7,70.9,71.1,71.3,71.4,0
108,74,Mexico,67.9,70.2,71.9,72.9,73.7,73.8,74.0,74.1,74.3,74.5,74.7,74.9,0
109,131,Micronesia (Federated States of),65.7,66.2,66.7,67.3,67.7,67.7,67.7,67.8,67.9,67.9,68.0,68.1,0
110,112,Moldova (Republic of),64.1,63.0,63.0,63.9,65.6,66.0,66.4,66.7,67.0,67.2,67.3,67.4,0
112,50,Montenegro,71.3,71.1,70.5,71.1,72.9,73.3,73.7,74.0,74.3,74.5,74.7,74.9,0
113,123,Morocco,63.1,65.1,67.2,69.9,72.6,73.1,73.5,73.8,74.1,74.4,74.6,74.9,0
120,124,Nicaragua,61.3,64.9,67.0,68.9,70.6,70.9,71.2,71.5,71.8,72.1,72.3,72.6,0
124,48,Oman,65.4,68.0,70.4,72.3,73.9,74.1,74.4,74.6,74.8,75.1,75.3,75.6,0
"126,119,""Palestine, State of"",66.5,68.1,69.1,69.9,70.6,70.8,71.0,71.1,71.3,71.4,71.6,71.8,0"
129,110,Paraguay,65.8,66.7,67.9,69.2,70.2,70.4,70.6,70.7,70.8,70.9,71.0,71.1,0
130,89,Peru,63.2,65.6,68.0,69.8,71.0,71.3,71.5,71.7,71.9,72.1,72.4,72.6,0
132,33,Poland,66.5,67.5,69.5,70.9,72.1,72.4,72.7,73.0,73.3,73.5,73.7,73.9,0
135,52,Romania,66.3,65.9,66.8,68.7,70.5,70.8,71.1,71.4,71.6,71.8,72.0,72.1,0
138,90,Saint Lucia,68.7,69.3,69.6,70.8,71.8,72.0,72.1,72.3,72.5,72.6,72.8,73.0,0
139,99,Saint Vincent and the Grenadines,67.9,68.5,68.2,69.0,70.3,70.5,70.6,70.8,70.9,71.0,71.1,71.2,0
140,104,Samoa,61.8,64.3,66.3,68.1,70.2,70.6,70.9,71.2,71.5,71.8,72.0,72.3,0
142,39,Saudi Arabia,67.5,69.2,70.9,71.7,72.3,72.4,72.6,72.8,73.0,73.1,73.3,73.4,0
144,67,Serbia,68.7,68.9,69.2,69.9,71.2,71.5,71.7,71.9,72.1,72.2,72.4,72.5,0
145,62,Seychelles,66.5,66.2,67.4,68.0,68.3,68.5,68.6,68.8,68.9,69.1,69.3,69.5,0
148,38,Slovakia,67.1,68.0,69.2,70.3,71.8,72.1,72.4,72.7,72.9,73.1,73.3,73.4,0
150,152,Solomon Islands,56.3,59.4,62.3,64.8,67.3,67.7,68.1,68.4,68.7,69.0,69.3,69.5,0
155,76,Sri Lanka,66.3,66.0,67.5,70.4,70.9,71.1,71.2,71.4,71.5,71.7,71.9,72.1,0
157,100,Suriname,64.2,64.5,64.6,65.5,67.2,67.5,67.7,67.9,68.0,68.2,68.3,68.4,0
160,155,Syrian Arab Republic,69.1,70.2,71.0,72.3,68.1,66.7,65.5,64.5,64.0,64.0,64.5,65.4,0
161,127,Tajikistan,59.8,59.4,62.5,64.9,67.0,67.3,67.6,67.8,68.0,68.2,68.3,68.4,0
