,HDI Rank (2017),Country,2000,2005,2010,2011,2012,2013,2014,2015,2016,cluster
1,68,Albania,22.0,19.0,17.0,17.0,16.0,19.0,16.0,16.0,16.0,0
2,85,Algeria,74.0,80.0,77.0,73.0,73.0,67.0,72.0,74.0,70.0,0
3,35,Andorra,21.0,15.0,9.5,4.1,13.0,7.1,8.7,5.9,6.0,0
5,70,Antigua and Barbuda,5.5,7.7,8.5,7.2,3.6,12.0,3.5,5.0,3.4,0
6,47,Argentina,37.0,31.0,20.0,27.0,24.0,24.0,25.0,25.0,24.0,0
7,83,Armenia,54.0,92.0,61.0,55.0,53.0,60.0,57.0,47.0,44.0,0
8,3,Australia,6.3,5.9,6.5,6.3,6.6,6.2,6.5,6.1,6.1,0
9,20,Austria,17.0,13.0,9.1,9.1,8.4,8.4,7.5,7.5,8.2,0
10,80,Azerbaijan,80.0,88.0,104.0,125.0,86.0,78.0,76.0,71.0,66.0,0
11,54,Bahamas,32.0,17.0,9.9,13.0,9.9,10.0,15.0,18.0,26.0,0
12,43,Bahrain,36.0,36.0,23.0,20.0,20.0,18.0,16.0,14.0,12.0,0
14,58,Barbados,1.3,4.0,2.5,0.0,1.6,1.6,2.0,0.0,1.2,0
15,53,Belarus,83.0,74.0,69.0,67.0,64.0,61.0,58.0,55.0,52.0,0
16,17,Belgium,14.0,12.0,11.0,10.0,9.4,9.3,9.1,9.5,10.0,0
17,106,Belize,49.0,41.0,52.0,26.0,29.0,40.0,24.0,25.0,38.0,0
18,163,Benin,86.0,73.0,68.0,67.0,66.0,64.0,61.0,60.0,59.0,0
21,77,Bosnia and Herzegovina,82.0,70.0,44.0,46.0,48.0,44.0,42.0,39.0,32.0,0
23,79,Brazil,51.0,50.0,44.0,44.0,42.0,45.0,43.0,42.0,42.0,0
24,39,Brunei Darussalam,106.0,51.0,70.0,67.0,70.0,60.0,55.0,58.0,66.0,0
25,51,Bulgaria,52.0,52.0,41.0,37.0,36.0,33.0,32.0,28.0,27.0,0
26,183,Burkina Faso,70.0,64.0,58.0,57.0,55.0,54.0,54.0,52.0,51.0,0
31,12,Canada,6.4,5.5,4.6,4.8,5.4,5.3,5.1,5.2,5.2,0
34,44,Chile,23.0,18.0,16.0,16.0,16.0,16.0,16.0,17.0,16.0,0
35,86,China,109.0,92.0,77.0,76.0,74.0,70.0,68.0,66.0,64.0,0
36,90,Colombia,36.0,30.0,31.0,32.0,32.0,31.0,30.0,31.0,32.0,0
37,165,Comoros,39.0,36.0,33.0,34.0,34.0,34.0,35.0,35.0,35.0,0
40,63,Costa Rica,19.0,16.0,14.0,14.0,13.0,11.0,12.0,11.0,9.5,0
41,46,Croatia,42.0,28.0,18.0,17.0,14.0,14.0,13.0,13.0,12.0,0
42,73,Cuba,12.0,7.9,8.4,8.2,7.4,7.6,7.3,7.0,6.9,0
43,32,Cyprus,4.0,3.8,6.3,5.2,6.4,4.1,3.9,6.2,5.6,0
44,27,Czechia,16.0,11.0,6.8,6.2,6.1,5.1,5.1,5.5,5.0,0
46,11,Denmark,13.0,8.4,6.9,7.4,7.0,6.7,5.9,6.5,6.1,0
48,103,Dominica,4.9,12.0,13.0,3.2,11.0,4.8,1.6,11.0,7.8,0
49,94,Dominican Republic,100.0,82.0,67.0,65.0,62.0,60.0,60.0,60.0,60.0,0
50,86,Ecuador,99.0,70.0,59.0,59.0,59.0,56.0,54.0,52.0,50.0,0
51,115,Egypt,26.0,21.0,18.0,17.0,17.0,16.0,15.0,15.0,14.0,0
52,121,El Salvador,32.0,37.0,34.0,38.0,41.0,44.0,44.0,49.0,60.0,0
54,179,Eritrea,177.0,149.0,108.0,112.0,114.0,101.0,83.0,70.0,74.0,0
55,30,Estonia,61.0,42.0,28.0,25.0,24.0,22.0,20.0,18.0,16.0,0
58,92,Fiji,22.0,20.0,27.0,31.0,30.0,36.0,53.0,51.0,59.0,0
59,15,Finland,12.0,7.4,6.6,6.7,5.5,5.6,5.3,5.6,4.7,0
60,24,France,12.0,9.5,8.8,8.7,8.6,8.6,8.2,8.1,7.7,0
64,5,Germany,13.0,8.0,5.8,5.8,5.7,5.9,6.1,8.0,8.1,0
66,31,Greece,7.3,7.1,4.5,4.6,5.2,5.0,4.9,4.5,4.4,0
67,75,Grenada,0.0,1.7,4.4,2.2,1.1,0.6,0.0,5.4,6.4,0
68,127,Guatemala,31.0,36.0,28.0,25.0,28.0,27.0,25.0,26.0,24.0,0
71,125,Guyana,70.0,106.0,119.0,118.0,124.0,112.0,89.0,93.0,93.0,0
73,133,Honduras,123.0,57.0,44.0,48.0,44.0,43.0,40.0,41.0,40.0,0
74,7,"Hong Kong, China (SAR)",104.0,95.0,81.0,77.0,78.0,76.0,76.0,71.0,69.0,0
75,45,Hungary,35.0,21.0,18.0,15.0,14.0,12.0,9.4,10.0,8.8,0
